sampleid,legendid,step,name,answer,x,y
1739354,299,step2,Please select all other tree loss drivers visible inside the tree loss pixels in the blue box (ILUC),Roads/trails/buildings,3.852350151,7.09677396
1738726,299,step2,Please select all other tree loss drivers visible inside the tree loss pixels in the blue box (ILUC),Roads/trails/buildings,98.56622213,10.27501343
1738726,298,step1,Please select the predominant tree loss driver visible inside the tree loss pixels in the blue box (,Commercial agriculture,98.56622213,10.27501343
1738726,301,step3,"Can you see roads, trails or buildings in the blue bo (ILUC)",Yes,98.56622213,10.27501343
1739643,298,step1,Please select the predominant tree loss driver visible inside the tree loss pixels in the blue box (,Subsistence agriculture,99.97927207,21.01527097
1739643,299,step2,Please select all other tree loss drivers visible inside the tree loss pixels in the blue box (ILUC),Roads/trails/buildings,99.97927207,21.01527097
1739643,301,step3,"Can you see roads, trails or buildings in the blue bo (ILUC)",Yes,99.97927207,21.01527097
1739331,301,step3,"Can you see roads, trails or buildings in the blue bo (ILUC)",Yes,-62.99578172,-26.98890118
1739331,299,step2,Please select all other tree loss drivers visible inside the tree loss pixels in the blue box (ILUC),Roads/trails/buildings,-62.99578172,-26.98890118
1739331,298,step1,Please select the predominant tree loss driver visible inside the tree loss pixels in the blue box (,Pasture,-62.99578172,-26.98890118
1739331,299,step2,Please select all other tree loss drivers visible inside the tree loss pixels in the blue box (ILUC),Agriculture/Pasture,-62.99578172,-26.98890118
1740570,301,step3,"Can you see roads, trails or buildings in the blue bo (ILUC)",Yes,31.10813419,-11.04649983
1740570,299,step2,Please select all other tree loss drivers visible inside the tree loss pixels in the blue box (ILUC),Roads/trails/buildings,31.10813419,-11.04649983
1740570,298,step1,Please select the predominant tree loss driver visible inside the tree loss pixels in the blue box (,Subsistence agriculture,31.10813419,-11.04649983
1738977,301,step3,"Can you see roads, trails or buildings in the blue bo (ILUC)",Yes,38.23626597,-6.988809695
1738977,298,step1,Please select the predominant tree loss driver visible inside the tree loss pixels in the blue box (,Subsistence agriculture,38.23626597,-6.988809695
1738977,299,step2,Please select all other tree loss drivers visible inside the tree loss pixels in the blue box (ILUC),Roads/trails/buildings,38.23626597,-6.988809695
1740179,299,step2,Please select all other tree loss drivers visible inside the tree loss pixels in the blue box (ILUC),Roads/trails/buildings,-11.42439957,7.546829917
1740179,298,step1,Please select the predominant tree loss driver visible inside the tree loss pixels in the blue box (,Subsistence agriculture,-11.42439957,7.546829917
1740179,301,step3,"Can you see roads, trails or buildings in the blue bo (ILUC)",Yes,-11.42439957,7.546829917
1740511,298,step1,Please select the predominant tree loss driver visible inside the tree loss pixels in the blue box (,Roads/trails/buildings,28.60722444,-10.37905158
1740511,301,step3,"Can you see roads, trails or buildings in the blue bo (ILUC)",Yes,28.60722444,-10.37905158
1740511,299,step2,Please select all other tree loss drivers visible inside the tree loss pixels in the blue box (ILUC),Agriculture/Pasture,28.60722444,-10.37905158
1740803,298,step1,Please select the predominant tree loss driver visible inside the tree loss pixels in the blue box (,Subsistence agriculture,-0.876381504,6.563174681
1740803,299,step2,Please select all other tree loss drivers visible inside the tree loss pixels in the blue box (ILUC),Roads/trails/buildings,-0.876381504,6.563174681
1740803,301,step3,"Can you see roads, trails or buildings in the blue bo (ILUC)",Yes,-0.876381504,6.563174681
1740152,299,step2,Please select all other tree loss drivers visible inside the tree loss pixels in the blue box (ILUC),Roads/trails/buildings,111.3384688,0.245323288
1740152,298,step1,Please select the predominant tree loss driver visible inside the tree loss pixels in the blue box (,Subsistence agriculture,111.3384688,0.245323288
1740152,301,step3,"Can you see roads, trails or buildings in the blue bo (ILUC)",Yes,111.3384688,0.245323288
1738936,298,step1,Please select the predominant tree loss driver visible inside the tree loss pixels in the blue box (,Subsistence agriculture,98.45662767,22.8684954
1738936,299,step2,Please select all other tree loss drivers visible inside the tree loss pixels in the blue box (ILUC),Roads/trails/buildings,98.45662767,22.8684954
1738936,301,step3,"Can you see roads, trails or buildings in the blue bo (ILUC)",Yes,98.45662767,22.8684954
1738604,301,step3,"Can you see roads, trails or buildings in the blue bo (ILUC)",Yes,106.369887,15.54902247
1738604,298,step1,Please select the predominant tree loss driver visible inside the tree loss pixels in the blue box (,Subsistence agriculture,106.369887,15.54902247
1738604,299,step2,Please select all other tree loss drivers visible inside the tree loss pixels in the blue box (ILUC),Roads/trails/buildings,106.369887,15.54902247
1739461,298,step1,Please select the predominant tree loss driver visible inside the tree loss pixels in the blue box (,Commercial oil palm or other palm plantations,102.6823028,-2.933814503
1739461,299,step2,Please select all other tree loss drivers visible inside the tree loss pixels in the blue box (ILUC),Roads/trails/buildings,102.6823028,-2.933814503
1739461,301,step3,"Can you see roads, trails or buildings in the blue bo (ILUC)",Yes,102.6823028,-2.933814503
1740714,298,step1,Please select the predominant tree loss driver visible inside the tree loss pixels in the blue box (,Subsistence agriculture,49.53258066,-14.12502631
1740714,301,step3,"Can you see roads, trails or buildings in the blue bo (ILUC)",Yes,49.53258066,-14.12502631
1740714,299,step2,Please select all other tree loss drivers visible inside the tree loss pixels in the blue box (ILUC),Roads/trails/buildings,49.53258066,-14.12502631
1741038,301,step3,"Can you see roads, trails or buildings in the blue bo (ILUC)",Yes,99.47441888,21.91358626
1741038,298,step1,Please select the predominant tree loss driver visible inside the tree loss pixels in the blue box (,Subsistence agriculture,99.47441888,21.91358626
1741038,299,step2,Please select all other tree loss drivers visible inside the tree loss pixels in the blue box (ILUC),Agriculture/Pasture,99.47441888,21.91358626
1738527,298,step1,Please select the predominant tree loss driver visible inside the tree loss pixels in the blue box (,Subsistence agriculture,22.54090132,3.680480934
1738527,299,step2,Please select all other tree loss drivers visible inside the tree loss pixels in the blue box (ILUC),Roads/trails/buildings,22.54090132,3.680480934
1738527,301,step3,"Can you see roads, trails or buildings in the blue bo (ILUC)",Yes,22.54090132,3.680480934
1738526,299,step2,Please select all other tree loss drivers visible inside the tree loss pixels in the blue box (ILUC),Roads/trails/buildings,40.34461194,-10.86504015
1738526,301,step3,"Can you see roads, trails or buildings in the blue bo (ILUC)",Yes,40.34461194,-10.86504015
1738526,298,step1,Please select the predominant tree loss driver visible inside the tree loss pixels in the blue box (,Subsistence agriculture,40.34461194,-10.86504015
1738662,298,step1,Please select the predominant tree loss driver visible inside the tree loss pixels in the blue box (,Pasture,-48.78712887,-17.63115087
1738662,301,step3,"Can you see roads, trails or buildings in the blue bo (ILUC)",Yes,-48.78712887,-17.63115087
1738662,299,step2,Please select all other tree loss drivers visible inside the tree loss pixels in the blue box (ILUC),Roads/trails/buildings,-48.78712887,-17.63115087
1738953,301,step3,"Can you see roads, trails or buildings in the blue bo (ILUC)",Yes,-50.51997905,-24.01907085
1738953,299,step2,Please select all other tree loss drivers visible inside the tree loss pixels in the blue box (ILUC),Roads/trails/buildings,-50.51997905,-24.01907085
1738953,298,step1,Please select the predominant tree loss driver visible inside the tree loss pixels in the blue box (,Managed forest/forestry,-50.51997905,-24.01907085
1739454,298,step1,Please select the predominant tree loss driver visible inside the tree loss pixels in the blue box (,Subsistence agriculture,24.02491817,0.67920957
1739454,299,step2,Please select all other tree loss drivers visible inside the tree loss pixels in the blue box (ILUC),Roads/trails/buildings,24.02491817,0.67920957
1739454,301,step3,"Can you see roads, trails or buildings in the blue bo (ILUC)",Yes,24.02491817,0.67920957
1738512,298,step1,Please select the predominant tree loss driver visible inside the tree loss pixels in the blue box (,Subsistence agriculture,-9.308867076,12.99870538
1738512,299,step2,Please select all other tree loss drivers visible inside the tree loss pixels in the blue box (ILUC),Roads/trails/buildings,-9.308867076,12.99870538
1738512,301,step3,"Can you see roads, trails or buildings in the blue bo (ILUC)",Yes,-9.308867076,12.99870538
1738803,299,step2,Please select all other tree loss drivers visible inside the tree loss pixels in the blue box (ILUC),Roads/trails/buildings,111.6178449,-1.697732672
1738803,301,step3,"Can you see roads, trails or buildings in the blue bo (ILUC)",Yes,111.6178449,-1.697732672
1738803,298,step1,Please select the predominant tree loss driver visible inside the tree loss pixels in the blue box (,Managed forest/forestry,111.6178449,-1.697732672
1738800,299,step2,Please select all other tree loss drivers visible inside the tree loss pixels in the blue box (ILUC),Roads/trails/buildings,45.61323108,2.762402714
1738800,298,step1,Please select the predominant tree loss driver visible inside the tree loss pixels in the blue box (,Subsistence agriculture,45.61323108,2.762402714
1738800,301,step3,"Can you see roads, trails or buildings in the blue bo (ILUC)",Yes,45.61323108,2.762402714
1738799,301,step3,"Can you see roads, trails or buildings in the blue bo (ILUC)",Yes,19.2306095,2.775877443
1738799,299,step2,Please select all other tree loss drivers visible inside the tree loss pixels in the blue box (ILUC),Roads/trails/buildings,19.2306095,2.775877443
1738799,298,step1,Please select the predominant tree loss driver visible inside the tree loss pixels in the blue box (,Subsistence agriculture,19.2306095,2.775877443
1738537,301,step3,"Can you see roads, trails or buildings in the blue bo (ILUC)",Yes,47.96681712,-19.86526098
1738537,298,step1,Please select the predominant tree loss driver visible inside the tree loss pixels in the blue box (,Subsistence agriculture,47.96681712,-19.86526098
1738537,299,step2,Please select all other tree loss drivers visible inside the tree loss pixels in the blue box (ILUC),Roads/trails/buildings,47.96681712,-19.86526098
1738733,301,step3,"Can you see roads, trails or buildings in the blue bo (ILUC)",Yes,-47.04170227,-6.627686951
1738733,298,step1,Please select the predominant tree loss driver visible inside the tree loss pixels in the blue box (,Pasture,-47.04170227,-6.627686951
1738733,299,step2,Please select all other tree loss drivers visible inside the tree loss pixels in the blue box (ILUC),Roads/trails/buildings,-47.04170227,-6.627686951
1738812,298,step1,Please select the predominant tree loss driver visible inside the tree loss pixels in the blue box (,Commercial oil palm or other palm plantations,117.8773058,5.937947243
1738812,299,step2,Please select all other tree loss drivers visible inside the tree loss pixels in the blue box (ILUC),Roads/trails/buildings,117.8773058,5.937947243
1738812,301,step3,"Can you see roads, trails or buildings in the blue bo (ILUC)",Yes,117.8773058,5.937947243
1740997,298,step1,Please select the predominant tree loss driver visible inside the tree loss pixels in the blue box (,Pasture,-41.89525401,-14.20946795
1740997,299,step2,Please select all other tree loss drivers visible inside the tree loss pixels in the blue box (ILUC),Roads/trails/buildings,-41.89525401,-14.20946795
1740997,301,step3,"Can you see roads, trails or buildings in the blue bo (ILUC)",Yes,-41.89525401,-14.20946795
1739073,298,step1,Please select the predominant tree loss driver visible inside the tree loss pixels in the blue box (,Subsistence agriculture,33.29014201,-9.336107533
1739073,299,step2,Please select all other tree loss drivers visible inside the tree loss pixels in the blue box (ILUC),Roads/trails/buildings,33.29014201,-9.336107533
1739073,301,step3,"Can you see roads, trails or buildings in the blue bo (ILUC)",Yes,33.29014201,-9.336107533
1738509,298,step1,Please select the predominant tree loss driver visible inside the tree loss pixels in the blue box (,Subsistence agriculture,-45.20285088,-12.21880128
1738509,301,step3,"Can you see roads, trails or buildings in the blue bo (ILUC)",Yes,-45.20285088,-12.21880128
1738509,299,step2,Please select all other tree loss drivers visible inside the tree loss pixels in the blue box (ILUC),Roads/trails/buildings,-45.20285088,-12.21880128
1738506,298,step1,Please select the predominant tree loss driver visible inside the tree loss pixels in the blue box (,Subsistence agriculture,33.83182613,-9.830180939
1738506,301,step3,"Can you see roads, trails or buildings in the blue bo (ILUC)",Yes,33.83182613,-9.830180939
1738506,299,step2,Please select all other tree loss drivers visible inside the tree loss pixels in the blue box (ILUC),Roads/trails/buildings,33.83182613,-9.830180939
1738466,298,step1,Please select the predominant tree loss driver visible inside the tree loss pixels in the blue box (,Pasture,-90.23719271,17.10041296
1738466,299,step2,Please select all other tree loss drivers visible inside the tree loss pixels in the blue box (ILUC),Roads/trails/buildings,-90.23719271,17.10041296
1738466,301,step3,"Can you see roads, trails or buildings in the blue bo (ILUC)",Yes,-90.23719271,17.10041296
1738455,298,step1,Please select the predominant tree loss driver visible inside the tree loss pixels in the blue box (,Subsistence agriculture,107.2556259,15.51398817
1738455,299,step2,Please select all other tree loss drivers visible inside the tree loss pixels in the blue box (ILUC),Roads/trails/buildings,107.2556259,15.51398817
1738455,301,step3,"Can you see roads, trails or buildings in the blue bo (ILUC)",Yes,107.2556259,15.51398817
1739096,298,step1,Please select the predominant tree loss driver visible inside the tree loss pixels in the blue box (,Subsistence agriculture,-79.57419028,-4.7439198
1739096,299,step2,Please select all other tree loss drivers visible inside the tree loss pixels in the blue box (ILUC),Roads/trails/buildings,-79.57419028,-4.7439198
1739096,301,step3,"Can you see roads, trails or buildings in the blue bo (ILUC)",Yes,-79.57419028,-4.7439198
1738482,298,step1,Please select the predominant tree loss driver visible inside the tree loss pixels in the blue box (,Subsistence agriculture,-4.991563821,10.53462655
1738482,301,step3,"Can you see roads, trails or buildings in the blue bo (ILUC)",Yes,-4.991563821,10.53462655
1738482,299,step2,Please select all other tree loss drivers visible inside the tree loss pixels in the blue box (ILUC),Roads/trails/buildings,-4.991563821,10.53462655
1738125,298,step1,Please select the predominant tree loss driver visible inside the tree loss pixels in the blue box (,Subsistence agriculture,21.10090192,3.195390681
1738125,299,step2,Please select all other tree loss drivers visible inside the tree loss pixels in the blue box (ILUC),Roads/trails/buildings,21.10090192,3.195390681
1738125,301,step3,"Can you see roads, trails or buildings in the blue bo (ILUC)",Yes,21.10090192,3.195390681
1739642,301,step3,"Can you see roads, trails or buildings in the blue bo (ILUC)",Yes,18.9135042,-0.355649637
1739642,299,step2,Please select all other tree loss drivers visible inside the tree loss pixels in the blue box (ILUC),Roads/trails/buildings,18.9135042,-0.355649637
1739642,298,step1,Please select the predominant tree loss driver visible inside the tree loss pixels in the blue box (,Subsistence agriculture,18.9135042,-0.355649637
1740620,301,step3,"Can you see roads, trails or buildings in the blue bo (ILUC)",Yes,-42.27344474,-19.07204858
1740620,299,step2,Please select all other tree loss drivers visible inside the tree loss pixels in the blue box (ILUC),Agriculture/Pasture,-42.27344474,-19.07204858
1740620,299,step2,Please select all other tree loss drivers visible inside the tree loss pixels in the blue box (ILUC),Roads/trails/buildings,-42.27344474,-19.07204858
1740620,298,step1,Please select the predominant tree loss driver visible inside the tree loss pixels in the blue box (,Managed forest/forestry,-42.27344474,-19.07204858
1740256,299,step2,Please select all other tree loss drivers visible inside the tree loss pixels in the blue box (ILUC),Agriculture/Pasture,12.89928338,-5.360164085
1740256,299,step2,Please select all other tree loss drivers visible inside the tree loss pixels in the blue box (ILUC),Roads/trails/buildings,12.89928338,-5.360164085
1740256,301,step3,"Can you see roads, trails or buildings in the blue bo (ILUC)",Yes,12.89928338,-5.360164085
1740256,298,step1,Please select the predominant tree loss driver visible inside the tree loss pixels in the blue box (,Managed forest/forestry,12.89928338,-5.360164085
1739368,301,step3,"Can you see roads, trails or buildings in the blue bo (ILUC)",Yes,96.08238037,4.232944834
1739368,298,step1,Please select the predominant tree loss driver visible inside the tree loss pixels in the blue box (,Subsistence agriculture,96.08238037,4.232944834
1739368,299,step2,Please select all other tree loss drivers visible inside the tree loss pixels in the blue box (ILUC),Roads/trails/buildings,96.08238037,4.232944834
1739318,299,step2,Please select all other tree loss drivers visible inside the tree loss pixels in the blue box (ILUC),No other tree loss driver,0.880723192,9.2150014
1739318,298,step1,Please select the predominant tree loss driver visible inside the tree loss pixels in the blue box (,Subsistence agriculture,0.880723192,9.2150014
1739318,301,step3,"Can you see roads, trails or buildings in the blue bo (ILUC)",Yes,0.880723192,9.2150014
1738999,299,step2,Please select all other tree loss drivers visible inside the tree loss pixels in the blue box (ILUC),Roads/trails/buildings,15.76670576,-10.46888311
1738999,301,step3,"Can you see roads, trails or buildings in the blue bo (ILUC)",Yes,15.76670576,-10.46888311
1738999,298,step1,Please select the predominant tree loss driver visible inside the tree loss pixels in the blue box (,Commercial agriculture,15.76670576,-10.46888311
1740229,298,step1,Please select the predominant tree loss driver visible inside the tree loss pixels in the blue box (,Managed forest/forestry,153.057129,-29.41345413
1740229,301,step3,"Can you see roads, trails or buildings in the blue bo (ILUC)",Yes,153.057129,-29.41345413
1740229,299,step2,Please select all other tree loss drivers visible inside the tree loss pixels in the blue box (ILUC),Roads/trails/buildings,153.057129,-29.41345413
1738417,301,step3,"Can you see roads, trails or buildings in the blue bo (ILUC)",Yes,-46.9141415,-18.4737706
1738417,298,step1,Please select the predominant tree loss driver visible inside the tree loss pixels in the blue box (,Commercial agriculture,-46.9141415,-18.4737706
1738417,299,step2,Please select all other tree loss drivers visible inside the tree loss pixels in the blue box (ILUC),Roads/trails/buildings,-46.9141415,-18.4737706
1739338,301,step3,"Can you see roads, trails or buildings in the blue bo (ILUC)",Yes,107.8871415,14.75940333
1739338,299,step2,Please select all other tree loss drivers visible inside the tree loss pixels in the blue box (ILUC),Roads/trails/buildings,107.8871415,14.75940333
1739338,298,step1,Please select the predominant tree loss driver visible inside the tree loss pixels in the blue box (,Subsistence agriculture,107.8871415,14.75940333
1739899,298,step1,Please select the predominant tree loss driver visible inside the tree loss pixels in the blue box (,Subsistence agriculture,103.1440368,-4.366627381
1739899,301,step3,"Can you see roads, trails or buildings in the blue bo (ILUC)",Yes,103.1440368,-4.366627381
1739899,299,step2,Please select all other tree loss drivers visible inside the tree loss pixels in the blue box (ILUC),Roads/trails/buildings,103.1440368,-4.366627381
1739542,301,step3,"Can you see roads, trails or buildings in the blue bo (ILUC)",Yes,-39.59377025,-16.05550586
1739542,299,step2,Please select all other tree loss drivers visible inside the tree loss pixels in the blue box (ILUC),Roads/trails/buildings,-39.59377025,-16.05550586
1739542,298,step1,Please select the predominant tree loss driver visible inside the tree loss pixels in the blue box (,Managed forest/forestry,-39.59377025,-16.05550586
1739248,301,step3,"Can you see roads, trails or buildings in the blue bo (ILUC)",Yes,28.92702468,-13.75492042
1739248,298,step1,Please select the predominant tree loss driver visible inside the tree loss pixels in the blue box (,Subsistence agriculture,28.92702468,-13.75492042
1739248,299,step2,Please select all other tree loss drivers visible inside the tree loss pixels in the blue box (ILUC),Roads/trails/buildings,28.92702468,-13.75492042
1740151,301,step3,"Can you see roads, trails or buildings in the blue bo (ILUC)",Yes,121.1750212,16.77432452
1740151,298,step1,Please select the predominant tree loss driver visible inside the tree loss pixels in the blue box (,Subsistence agriculture,121.1750212,16.77432452
1740151,299,step2,Please select all other tree loss drivers visible inside the tree loss pixels in the blue box (ILUC),Roads/trails/buildings,121.1750212,16.77432452
1740168,301,step3,"Can you see roads, trails or buildings in the blue bo (ILUC)",Yes,-10.88091882,6.756312467
1740168,298,step1,Please select the predominant tree loss driver visible inside the tree loss pixels in the blue box (,Subsistence agriculture,-10.88091882,6.756312467
1740168,299,step2,Please select all other tree loss drivers visible inside the tree loss pixels in the blue box (ILUC),Roads/trails/buildings,-10.88091882,6.756312467
1740451,299,step2,Please select all other tree loss drivers visible inside the tree loss pixels in the blue box (ILUC),Roads/trails/buildings,-53.66498086,-3.889621965
1740451,298,step1,Please select the predominant tree loss driver visible inside the tree loss pixels in the blue box (,Pasture,-53.66498086,-3.889621965
1740451,301,step3,"Can you see roads, trails or buildings in the blue bo (ILUC)",Yes,-53.66498086,-3.889621965
1739213,299,step2,Please select all other tree loss drivers visible inside the tree loss pixels in the blue box (ILUC),Roads/trails/buildings,-12.11071245,7.775001999
1739213,301,step3,"Can you see roads, trails or buildings in the blue bo (ILUC)",Yes,-12.11071245,7.775001999
1739213,298,step1,Please select the predominant tree loss driver visible inside the tree loss pixels in the blue box (,Subsistence agriculture,-12.11071245,7.775001999
1740438,298,step1,Please select the predominant tree loss driver visible inside the tree loss pixels in the blue box (,Pasture,-59.04768604,-9.51577059
1740438,301,step3,"Can you see roads, trails or buildings in the blue bo (ILUC)",Yes,-59.04768604,-9.51577059
1740438,299,step2,Please select all other tree loss drivers visible inside the tree loss pixels in the blue box (ILUC),Agriculture/Pasture,-59.04768604,-9.51577059
1740438,299,step2,Please select all other tree loss drivers visible inside the tree loss pixels in the blue box (ILUC),Roads/trails/buildings,-59.04768604,-9.51577059
1738585,299,step2,Please select all other tree loss drivers visible inside the tree loss pixels in the blue box (ILUC),Agriculture/Pasture,-9.159746739,8.051683107
1738585,298,step1,Please select the predominant tree loss driver visible inside the tree loss pixels in the blue box (,Roads/trails/buildings,-9.159746739,8.051683107
1738585,301,step3,"Can you see roads, trails or buildings in the blue bo (ILUC)",Yes,-9.159746739,8.051683107
1739189,301,step3,"Can you see roads, trails or buildings in the blue bo (ILUC)",Yes,142.2863287,-3.215885502
1739189,298,step1,Please select the predominant tree loss driver visible inside the tree loss pixels in the blue box (,Roads/trails/buildings,142.2863287,-3.215885502
1739189,299,step2,Please select all other tree loss drivers visible inside the tree loss pixels in the blue box (ILUC),No other tree loss driver,142.2863287,-3.215885502
1740097,301,step3,"Can you see roads, trails or buildings in the blue bo (ILUC)",Yes,109.8310958,20.93172765
1740097,299,step2,Please select all other tree loss drivers visible inside the tree loss pixels in the blue box (ILUC),Roads/trails/buildings,109.8310958,20.93172765
1740097,298,step1,Please select the predominant tree loss driver visible inside the tree loss pixels in the blue box (,Managed forest/forestry,109.8310958,20.93172765
1739179,298,step1,Please select the predominant tree loss driver visible inside the tree loss pixels in the blue box (,Commercial oil palm or other palm plantations,109.9739279,0.186034479
1739179,301,step3,"Can you see roads, trails or buildings in the blue bo (ILUC)",Yes,109.9739279,0.186034479
1739179,299,step2,Please select all other tree loss drivers visible inside the tree loss pixels in the blue box (ILUC),Roads/trails/buildings,109.9739279,0.186034479
1738565,298,step1,Please select the predominant tree loss driver visible inside the tree loss pixels in the blue box (,Subsistence agriculture,1.82575087,9.84921199
1738565,301,step3,"Can you see roads, trails or buildings in the blue bo (ILUC)",Yes,1.82575087,9.84921199
1738565,299,step2,Please select all other tree loss drivers visible inside the tree loss pixels in the blue box (ILUC),Roads/trails/buildings,1.82575087,9.84921199
1738564,299,step2,Please select all other tree loss drivers visible inside the tree loss pixels in the blue box (ILUC),Roads/trails/buildings,17.04231347,9.365918367
1738564,301,step3,"Can you see roads, trails or buildings in the blue bo (ILUC)",Yes,17.04231347,9.365918367
1738564,298,step1,Please select the predominant tree loss driver visible inside the tree loss pixels in the blue box (,Subsistence agriculture,17.04231347,9.365918367
1739789,301,step3,"Can you see roads, trails or buildings in the blue bo (ILUC)",Yes,97.95626605,4.449438817
1739789,298,step1,Please select the predominant tree loss driver visible inside the tree loss pixels in the blue box (,Commercial oil palm or other palm plantations,97.95626605,4.449438817
1739789,299,step2,Please select all other tree loss drivers visible inside the tree loss pixels in the blue box (ILUC),Roads/trails/buildings,97.95626605,4.449438817
1738852,298,step1,Please select the predominant tree loss driver visible inside the tree loss pixels in the blue box (,Pasture,-59.23094236,-23.75496616
1738852,301,step3,"Can you see roads, trails or buildings in the blue bo (ILUC)",Yes,-59.23094236,-23.75496616
1738852,299,step2,Please select all other tree loss drivers visible inside the tree loss pixels in the blue box (ILUC),Roads/trails/buildings,-59.23094236,-23.75496616
1739749,298,step1,Please select the predominant tree loss driver visible inside the tree loss pixels in the blue box (,Other natural disturbances/No tree-loss driver,120.3674358,-1.588138207
1739749,299,step2,Please select all other tree loss drivers visible inside the tree loss pixels in the blue box (ILUC),No other tree loss driver,120.3674358,-1.588138207
1739749,301,step3,"Can you see roads, trails or buildings in the blue bo (ILUC)",No,120.3674358,-1.588138207
1739434,299,step2,Please select all other tree loss drivers visible inside the tree loss pixels in the blue box (ILUC),Roads/trails/buildings,-47.39114692,-4.760987791
1739434,301,step3,"Can you see roads, trails or buildings in the blue bo (ILUC)",Yes,-47.39114692,-4.760987791
1739434,298,step1,Please select the predominant tree loss driver visible inside the tree loss pixels in the blue box (,Pasture,-47.39114692,-4.760987791
1738518,299,step2,Please select all other tree loss drivers visible inside the tree loss pixels in the blue box (ILUC),Roads/trails/buildings,102.6769129,22.07438469
1738518,298,step1,Please select the predominant tree loss driver visible inside the tree loss pixels in the blue box (,Subsistence agriculture,102.6769129,22.07438469
1738518,301,step3,"Can you see roads, trails or buildings in the blue bo (ILUC)",Yes,102.6769129,22.07438469
1740528,298,step1,Please select the predominant tree loss driver visible inside the tree loss pixels in the blue box (,Commercial agriculture,-56.03293995,-14.26336687
1740528,299,step2,Please select all other tree loss drivers visible inside the tree loss pixels in the blue box (ILUC),Roads/trails/buildings,-56.03293995,-14.26336687
1740528,301,step3,"Can you see roads, trails or buildings in the blue bo (ILUC)",Yes,-56.03293995,-14.26336687
1740189,298,step1,Please select the predominant tree loss driver visible inside the tree loss pixels in the blue box (,Pasture,-47.95169565,-4.91729465
1740189,301,step3,"Can you see roads, trails or buildings in the blue bo (ILUC)",Yes,-47.95169565,-4.91729465
1740189,299,step2,Please select all other tree loss drivers visible inside the tree loss pixels in the blue box (ILUC),Roads/trails/buildings,-47.95169565,-4.91729465
1739224,299,step2,Please select all other tree loss drivers visible inside the tree loss pixels in the blue box (ILUC),Roads/trails/buildings,-89.32630101,17.91877819
1739224,301,step3,"Can you see roads, trails or buildings in the blue bo (ILUC)",Yes,-89.32630101,17.91877819
1739224,298,step1,Please select the predominant tree loss driver visible inside the tree loss pixels in the blue box (,Subsistence agriculture,-89.32630101,17.91877819
